Iterations	Training_Loss	Validation_Loss
0	4.823815	4.825285
5	4.354966	4.354453
10	4.126177	4.125463
15	3.905401	3.907297
20	3.689333	3.688702
25	3.482130	3.482033
30	3.281570	3.282360
35	3.091358	3.092457
40	2.914704	2.916175
45	2.755383	2.757147
50	2.609402	2.608046
55	2.470713	2.473093
60	2.340558	2.345858
65	2.218983	2.225635
70	2.098643	2.102983
75	1.989127	1.993284
80	1.876852	1.887900
85	1.780288	1.788556
90	1.687051	1.698980
95	1.598040	1.614098
100	1.505104	1.523729
105	1.419882	1.432627
110	1.339453	1.342118
115	1.260230	1.264785
120	1.184712	1.189502
125	1.126316	1.134852
130	1.061967	1.079707
135	1.007064	1.023678
140	0.961107	0.987105
145	0.918172	0.941975
150	0.872625	0.886651
155	0.831476	0.870620
160	0.797162	0.851909
165	0.770274	0.808277
170	0.738466	0.772046
175	0.717189	0.762277
180	0.691787	0.746222
185	0.673734	0.752496
190	0.654981	0.710162
195	0.640818	0.721643
200	0.626763	0.686286
205	0.616237	0.690946
210	0.610666	0.677702
215	0.600751	0.654129
220	0.588731	0.683287
225	0.586714	0.690648
230	0.574654	0.627992
235	0.572604	0.643266
240	0.565195	0.644765
245	0.559539	0.636065
250	0.557094	0.670152
255	0.556056	0.658577
260	0.545638	0.642457
265	0.542292	0.648029
270	0.541308	0.666224
275	0.542508	0.632958
280	0.530850	0.655925
285	0.533421	0.656640
290	0.527814	0.632626
295	0.531481	0.646392
300	0.527229	0.706612
305	0.523133	0.699440
310	0.521314	0.685081
315	0.519090	0.679356
320	0.520690	0.705246
325	0.517741	0.690441
330	0.517408	0.672790
335	0.516258	0.644621
340	0.515533	0.656379
345	0.512613	0.645159
350	0.510873	0.643069
355	0.506813	0.647461
360	0.507755	0.627399
365	0.505200	0.613465
370	0.511362	0.614163
375	0.510251	0.617559
380	0.509023	0.705034
385	0.504093	0.749754
390	0.504203	0.645431
395	0.501091	0.621769
400	0.505238	0.612927
405	0.500109	0.604094
410	0.500250	0.605380
415	0.496684	0.615287
420	0.503485	0.644638
425	0.502701	0.683778
430	0.497948	0.677582
435	0.505723	0.646149
440	0.499879	0.626800
445	0.500820	0.637178
450	0.500494	0.647912
455	0.498107	0.658357
460	0.499384	0.630171
465	0.496342	0.661694
470	0.491618	0.625631
475	0.497411	0.632858
480	0.496576	0.644312
485	0.498166	0.654352
490	0.496988	0.669576
495	0.501774	0.674352
500	0.498788	0.658425
505	0.494588	0.657928
510	0.492841	0.667503
515	0.491621	0.676218
520	0.492681	0.690422
525	0.489158	0.676183
530	0.488792	0.654310
535	0.491477	0.656251
540	0.490967	0.641212
545	0.488890	0.641448
550	0.492046	0.657557
555	0.486098	0.667155
560	0.485815	0.655224
565	0.493545	0.654330
570	0.488280	0.658228
575	0.492155	0.659454
580	0.486169	0.668407
585	0.489263	0.652656
590	0.491791	0.641393
595	0.483256	0.655907
600	0.485404	0.652806
605	0.488804	0.650436
610	0.488174	0.671351
615	0.486058	0.668334
620	0.487048	0.683228
625	0.492005	0.675749
630	0.489189	0.695074
635	0.482465	0.695177
640	0.490715	0.723536
645	0.487756	0.722052
650	0.489423	0.702119
655	0.489456	0.714149
660	0.486287	0.675694
665	0.486986	0.717880
670	0.491362	0.751597
675	0.480092	0.707538
680	0.486710	0.694203
685	0.481009	0.702809
690	0.485842	0.726016
695	0.482214	0.743599
700	0.485974	0.712418
705	0.481031	0.691313
710	0.490019	0.705567
715	0.487170	0.717988
720	0.485609	0.709167
725	0.483860	0.704581
730	0.486505	0.710299
735	0.485769	0.702765
740	0.487188	0.709927
745	0.484655	0.689239
750	0.482890	0.694238
755	0.487325	0.687458
760	0.485613	0.686369
765	0.485571	0.705972
770	0.479008	0.691267
775	0.484901	0.703958
780	0.485887	0.685812
785	0.481477	0.685720
790	0.485608	0.693337
795	0.483410	0.703868
800	0.487254	0.705590
805	0.485074	0.687040
810	0.485804	0.705079
815	0.481860	0.746173
820	0.488279	0.758402
825	0.482462	0.724873
830	0.483220	0.693613
835	0.477865	0.692216
840	0.481294	0.719731
845	0.483752	0.736219
850	0.487280	0.710768
855	0.480344	0.686371
860	0.486264	0.723787
865	0.482078	0.711315
870	0.487673	0.714081
875	0.480111	0.692024
880	0.483728	0.728730
885	0.486118	0.750912
890	0.480259	0.715980
895	0.477303	0.679065
900	0.485644	0.678788
905	0.479595	0.703220
910	0.484066	0.724275
915	0.481147	0.703571
920	0.482910	0.702606
925	0.481794	0.701325
930	0.483058	0.691944
935	0.483883	0.694173
940	0.477754	0.703768
945	0.478393	0.704168
950	0.482242	0.714561
955	0.480586	0.694642
960	0.480725	0.703242
965	0.485250	0.697134
970	0.478794	0.717382
975	0.479925	0.765961
980	0.481225	0.755220
985	0.478142	0.763915
990	0.482107	0.755962
995	0.480582	0.762489
