epoch,train_loss,val_loss,epsilon
1,8.6863,7.2267,6.71
2,6.0063,5.7320,8.13
3,4.9054,5.1704,9.24
4,4.4113,4.8105,10.19
5,4.1421,4.5398,11.05
6,3.8791,4.3098,11.84
7,3.6703,4.1451,12.57
8,3.5392,4.0298,13.27
9,3.4132,3.9072,13.94
10,3.3051,3.8076,14.58
11,3.2076,3.7222,15.19
12,3.1226,3.6427,15.79
13,3.0563,3.5668,16.37
14,2.9897,3.5228,16.93
15,2.9488,3.4844,17.48
16,2.8658,3.4553,18.02
17,2.8417,3.4195,18.55
18,2.7855,3.3817,19.07
19,2.7879,3.3581,19.57
20,2.7600,3.3347,20.07
21,2.7250,3.3078,20.56
22,2.7056,3.2826,21.05
23,2.6749,3.2790,21.52
24,2.6705,3.2531,21.99
25,2.6367,3.2401,22.46
26,2.6107,3.2375,22.92
27,2.6092,3.2214,23.37
28,2.5982,3.2152,23.82
29,2.5947,3.2089,24.26
30,2.5960,3.1784,24.70
31,2.5793,3.1598,25.13
32,2.5844,3.1385,25.57
33,2.5523,3.1375,25.99
34,2.5641,3.1271,26.41
35,2.5395,3.1297,26.83
36,2.5402,3.1266,27.25
37,2.5293,3.1253,27.66
38,2.5327,3.1264,28.07
39,2.5020,3.1244,28.48
40,2.5048,3.1042,28.88
41,2.5179,3.0803,29.28
42,2.4866,3.0830,29.68
43,2.4972,3.0735,30.08
44,2.4785,3.0716,30.47
45,2.4789,3.0699,30.86
46,2.4806,3.0674,31.25
47,2.4702,3.0634,31.63
48,2.4516,3.0632,32.02
49,2.4853,3.0440,32.40
50,2.4690,3.0309,32.78
51,2.4742,3.0266,33.16
52,2.4562,3.0269,33.53
53,2.4478,3.0208,33.91
54,2.4601,3.0336,34.28
55,2.4476,3.0354,34.65
56,2.4526,3.0232,35.02
57,2.4336,3.0335,35.38
58,2.4278,3.0385,35.75
59,2.4352,3.0272,36.11
60,2.4368,3.0169,36.47
61,2.4132,3.0125,36.83
62,2.4133,3.0226,37.19
63,2.4189,3.0136,37.55
64,2.4459,3.0004,37.91
65,2.4040,3.0242,38.26
66,2.4023,3.0229,38.61
67,2.4056,3.0146,38.97
68,2.4135,3.0252,39.32
69,2.4044,3.0176,39.67
70,2.4137,3.0225,40.02
71,2.4042,3.0209,40.36
72,2.3934,3.0153,40.71
73,2.3926,3.0106,41.05
74,2.3893,3.0110,41.40
75,2.4073,3.0106,41.74
76,2.4006,3.0176,42.08
77,2.3886,3.0146,42.42
78,2.3878,3.0125,42.76
79,2.3787,3.0125,43.10
80,2.3865,3.0168,43.44
81,2.3781,3.0221,43.77
82,2.3770,3.0073,44.11
83,2.3605,3.0131,44.44
84,2.3761,2.9943,44.78
85,2.3739,2.9961,45.11
86,2.3812,2.9820,45.44
87,2.3735,2.9852,45.77
88,2.3653,3.0051,46.10
89,2.3767,3.0017,46.43
90,2.3630,2.9871,46.76
91,2.3588,2.9836,47.09
92,2.3499,2.9920,47.41
93,2.3689,2.9893,47.74
94,2.3526,2.9762,48.06
95,2.3551,2.9821,48.39
96,2.3483,2.9687,48.71
97,2.3653,2.9708,49.03
98,2.3636,2.9630,49.35
99,2.3423,2.9632,49.68
100,2.3578,2.9623,50.00
