epoch,train_loss,val_loss,epsilon
1,8.7059,7.3135,0.09
2,6.2427,5.9884,0.12
3,5.1538,5.4513,0.15
4,4.7030,5.1749,0.17
5,4.5241,4.9770,0.20
6,4.3090,4.7407,0.22
7,4.1292,4.6231,0.23
8,4.0085,4.5645,0.25
9,3.9007,4.3841,0.27
10,3.7941,4.3037,0.28
11,3.7073,4.2182,0.30
12,3.6764,4.1336,0.31
13,3.6284,4.0145,0.33
14,3.5328,3.9734,0.34
15,3.5408,3.9795,0.35
16,3.4803,3.9721,0.36
17,3.4917,3.9556,0.38
18,3.4524,3.9065,0.39
19,3.4778,3.8585,0.40
20,3.4748,3.9027,0.41
21,3.4677,3.8704,0.42
22,3.4421,3.8175,0.43
23,3.4020,3.8655,0.44
24,3.4174,3.8450,0.45
25,3.3880,3.8427,0.46
26,3.3887,3.8835,0.47
27,3.3980,3.8497,0.48
28,3.4011,3.9179,0.49
29,3.4117,3.9646,0.50
30,3.4542,3.9163,0.51
31,3.4388,3.9214,0.52
32,3.4859,3.8495,0.53
33,3.4492,3.8172,0.54
34,3.4615,3.8245,0.55
35,3.4461,3.8346,0.56
36,3.4451,3.8055,0.57
37,3.4490,3.7870,0.57
38,3.4368,3.8260,0.58
39,3.3891,3.8120,0.59
40,3.3957,3.7890,0.60
41,3.4584,3.7499,0.61
42,3.4342,3.7894,0.62
43,3.4778,3.7857,0.62
44,3.4824,3.8142,0.63
45,3.4934,3.8520,0.64
46,3.5403,3.9064,0.65
47,3.5470,3.8393,0.66
48,3.5281,3.8308,0.66
49,3.5914,3.8645,0.67
50,3.5903,3.8253,0.68
51,3.6235,3.8207,0.69
52,3.5832,3.8240,0.69
53,3.6003,3.8117,0.70
54,3.6348,3.8459,0.71
55,3.6699,3.8709,0.71
56,3.6833,3.8656,0.72
57,3.6293,3.8913,0.73
58,3.6634,4.0113,0.74
59,3.7275,4.0132,0.74
60,3.7489,3.9200,0.75
61,3.6750,3.9700,0.76
62,3.7331,4.0182,0.76
63,3.7216,3.9646,0.77
64,3.7791,4.0067,0.78
65,3.7604,4.0732,0.78
66,3.7330,4.0314,0.79
67,3.7623,4.0139,0.80
68,3.7588,4.0880,0.80
69,3.7746,4.0430,0.81
70,3.8118,4.0666,0.82
71,3.8154,4.1133,0.82
72,3.7820,4.0540,0.83
73,3.8223,4.0369,0.84
74,3.8182,4.0397,0.84
75,3.8669,4.0153,0.85
76,3.8534,4.0760,0.85
77,3.8501,4.0548,0.86
78,3.9023,4.0664,0.87
79,3.8735,4.1212,0.87
80,3.9047,4.1760,0.88
81,3.9361,4.1584,0.89
82,3.9504,4.1680,0.89
83,3.9460,4.2464,0.90
84,4.0750,4.2139,0.90
85,4.0578,4.1993,0.91
86,4.0081,4.2225,0.92
87,4.0216,4.2532,0.92
88,4.0300,4.3692,0.93
89,4.0280,4.3507,0.93
90,3.9794,4.3217,0.94
91,4.0357,4.2941,0.94
92,3.9868,4.3688,0.95
93,4.0713,4.4041,0.96
94,4.0317,4.3568,0.96
95,4.0774,4.3075,0.97
96,4.0803,4.2720,0.97
97,4.1018,4.2778,0.98
98,4.1549,4.3331,0.98
99,4.2150,4.3039,0.99
100,4.1863,4.3120,1.00
