epoch,train_loss,val_loss,epsilon
1,8.6838,7.2262,3.31
2,6.0133,5.7406,3.91
3,4.9117,5.1779,4.35
4,4.4187,4.8206,4.74
5,4.1528,4.5518,5.08
6,3.8913,4.3203,5.40
7,3.6827,4.1581,5.69
8,3.5522,4.0464,5.97
9,3.4261,3.9207,6.24
10,3.3181,3.8212,6.49
11,3.2205,3.7358,6.74
12,3.1368,3.6545,6.98
13,3.0706,3.5766,7.21
14,3.0021,3.5328,7.43
15,2.9631,3.4960,7.65
16,2.8808,3.4680,7.86
17,2.8583,3.4343,8.07
18,2.8022,3.3947,8.27
19,2.8050,3.3704,8.47
20,2.7775,3.3497,8.67
21,2.7422,3.3211,8.86
22,2.7224,3.2955,9.05
23,2.6911,3.2940,9.24
24,2.6864,3.2677,9.42
25,2.6521,3.2552,9.60
26,2.6261,3.2542,9.78
27,2.6251,3.2364,9.96
28,2.6139,3.2332,10.13
29,2.6106,3.2278,10.31
30,2.6125,3.1950,10.48
31,2.5958,3.1772,10.64
32,2.6022,3.1530,10.81
33,2.5697,3.1513,10.98
34,2.5813,3.1422,11.14
35,2.5568,3.1459,11.30
36,2.5570,3.1419,11.46
37,2.5465,3.1429,11.62
38,2.5502,3.1465,11.78
39,2.5183,3.1440,11.93
40,2.5212,3.1222,12.09
41,2.5350,3.0952,12.24
42,2.5039,3.0995,12.39
43,2.5148,3.0889,12.54
44,2.4961,3.0882,12.69
45,2.4964,3.0872,12.84
46,2.4992,3.0844,12.99
47,2.4882,3.0798,13.14
48,2.4697,3.0792,13.29
49,2.5037,3.0585,13.43
50,2.4877,3.0429,13.57
51,2.4924,3.0392,13.72
52,2.4737,3.0415,13.86
53,2.4658,3.0344,14.00
54,2.4787,3.0508,14.14
55,2.4669,3.0533,14.28
56,2.4722,3.0399,14.42
57,2.4520,3.0529,14.56
58,2.4466,3.0594,14.70
59,2.4539,3.0479,14.84
60,2.4560,3.0350,14.97
61,2.4311,3.0313,15.11
62,2.4329,3.0441,15.24
63,2.4374,3.0331,15.38
64,2.4647,3.0197,15.51
65,2.4229,3.0474,15.64
66,2.4209,3.0462,15.78
67,2.4257,3.0375,15.91
68,2.4329,3.0526,16.04
69,2.4238,3.0444,16.17
70,2.4337,3.0502,16.30
71,2.4240,3.0470,16.43
72,2.4131,3.0413,16.56
73,2.4123,3.0363,16.69
74,2.4094,3.0371,16.82
75,2.4282,3.0374,16.94
76,2.4205,3.0465,17.07
77,2.4085,3.0439,17.20
78,2.4076,3.0406,17.32
79,2.3975,3.0416,17.45
80,2.4060,3.0474,17.57
81,2.3987,3.0533,17.70
82,2.3966,3.0370,17.82
83,2.3795,3.0440,17.95
84,2.3972,3.0233,18.07
85,2.3947,3.0251,18.19
86,2.4008,3.0098,18.32
87,2.3933,3.0124,18.44
88,2.3852,3.0356,18.56
89,2.3969,3.0338,18.68
90,2.3834,3.0164,18.80
91,2.3793,3.0111,18.93
92,2.3690,3.0226,19.05
93,2.3893,3.0217,19.17
94,2.3725,3.0051,19.29
95,2.3753,3.0120,19.41
96,2.3681,2.9949,19.52
97,2.3846,2.9966,19.64
98,2.3833,2.9895,19.76
99,2.3628,2.9899,19.88
100,2.3778,2.9890,20.00
